"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2446","test_invalid_sendmoney[-1tsn0tval1dAddre5-Invalid receiver's address]","tests.wallet_tests","Wed Nov 20 14:54:50 GMT 2024","passed","Wed Nov 20 14:54:52 GMT 2024","","test_wallet_send_money","",""
"","5970","test_valid_sendmoney","tests.wallet_tests","Wed Nov 20 14:54:30 GMT 2024","passed","Wed Nov 20 14:54:36 GMT 2024","","test_wallet_send_money","",""
"","1693","test_restore_by_invalid_private_key[--Invalid private key]","tests.wallet_tests","Wed Nov 20 14:54:14 GMT 2024","passed","Wed Nov 20 14:54:16 GMT 2024","","test_wallet_recovery_by_private_key","",""
"","2377","test_invalid_sendmoney[--Invalid receiver's address]","tests.wallet_tests","Wed Nov 20 14:54:47 GMT 2024","passed","Wed Nov 20 14:54:49 GMT 2024","","test_wallet_send_money","",""
"","9102","test_valid_inscription_unlist","tests.mane_site_tests","Wed Nov 20 14:52:22 GMT 2024","passed","Wed Nov 20 14:52:31 GMT 2024","","test_nintondo_inscription_list","",""
"","2170","test_changing_password[9PEx*Vqc)P1c+m>AdLi+EPuJG!HoJh3+poDx$@U?Hw<i2M-_%l8C_Kk8X2xwog-xeCVR*=-9PEx*Vqc)P1c+m>AdLi+EPuJG!HoJh3+poDx$@U?Hw<i2M-_%l8C_Kk8X2xwog-xeCVR*=-success]","tests.wallet_tests","Wed Nov 20 14:53:13 GMT 2024","passed","Wed Nov 20 14:53:15 GMT 2024","","test_wallet_change_password","",""
"","1667","test_restore_by_invalid_private_key[-Invalid private key]","tests.wallet_tests","Wed Nov 20 14:54:09 GMT 2024","passed","Wed Nov 20 14:54:11 GMT 2024","","test_wallet_recovery_by_private_key","",""
"","900","test_create_valid_password","tests.wallet_tests","Wed Nov 20 14:53:33 GMT 2024","passed","Wed Nov 20 14:53:34 GMT 2024","","test_wallet_password_verification","",""
"","2714","test_invalid_sendmoney[0.00000001-tbel1q0v7cjajnlkll0ppjsmdduwh2gfjml3nhmuks24-Fee exceeds amount]","tests.wallet_tests","Wed Nov 20 14:54:53 GMT 2024","passed","Wed Nov 20 14:54:56 GMT 2024","","test_wallet_send_money","",""
"","2182","test_changing_password[)TFh1=!u5cBX9Q=E)WFO5*f7mJO7N&87D9vneR8bO69<(CfSf0Pp8s^lZX@p%3M9_smcB-)TFh1=!u5cBX9Q=E)WFO5*f7mJO7N&87D9vneR8bO69<(CfSf0Pp8s^lZX@p%3M9_smcB-success]","tests.wallet_tests","Wed Nov 20 14:53:10 GMT 2024","passed","Wed Nov 20 14:53:12 GMT 2024","","test_wallet_change_password","",""
"","2230","test_changing_password[?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-error]","tests.wallet_tests","Wed Nov 20 14:53:16 GMT 2024","passed","Wed Nov 20 14:53:18 GMT 2024","","test_wallet_change_password","",""
"","4704","test_connect","tests.mane_site_tests","Wed Nov 20 14:51:32 GMT 2024","passed","Wed Nov 20 14:51:36 GMT 2024","","test_nintondo_change_name","",""
"","7649","test_valid_minting_transfers","tests.wallet_tests","Wed Nov 20 14:53:19 GMT 2024","failed","Wed Nov 20 14:53:27 GMT 2024","","test_wallet_mint_transfer","",""
"","9162","test_invalid_inscription_list[0.00000001-Price must be at least 1000 satoshi-group1]","tests.mane_site_tests","Wed Nov 20 14:52:49 GMT 2024","passed","Wed Nov 20 14:52:58 GMT 2024","","test_nintondo_inscription_list","",""
"","4334","test_valid_sending_transfers_zero_wallet","tests.wallet_tests","Wed Nov 20 14:55:08 GMT 2024","failed","Wed Nov 20 14:55:12 GMT 2024","","test_wallet_send_transfer","",""
