"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2108","test_changing_password[--error]","tests.wallet_tests","Wed Dec 18 10:49:55 GMT 2024","passed","Wed Dec 18 10:49:57 GMT 2024","","test_wallet_change_password","",""
"","2437","test_changing_password[?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-error]","tests.wallet_tests","Wed Dec 18 10:50:06 GMT 2024","passed","Wed Dec 18 10:50:09 GMT 2024","","test_wallet_change_password","",""
"","5114","test_mint_transfer_zero_wallet","tests.wallet_tests","Wed Dec 18 10:50:17 GMT 2024","passed","Wed Dec 18 10:50:22 GMT 2024","","test_wallet_mint_transfer","",""
"","2132","test_valid_changing_password","tests.wallet_tests","Wed Dec 18 10:49:52 GMT 2024","passed","Wed Dec 18 10:49:54 GMT 2024","","test_wallet_change_password","",""
"","1645","test_restore_by_invalid_private_key[-Invalid private key]","tests.wallet_tests","Wed Dec 18 10:50:59 GMT 2024","passed","Wed Dec 18 10:51:01 GMT 2024","","test_wallet_recovery_by_private_key","",""
"","1347","test_valid_create_mnemonic","tests.wallet_tests","Wed Dec 18 10:50:43 GMT 2024","passed","Wed Dec 18 10:50:44 GMT 2024","","test_wallet_recovery_by_new_mnemonic","",""
"","2372","test_invalid_sendmoney[-1tsn0tval1dAddre5-Invalid receiver's address]","tests.wallet_tests","Wed Dec 18 10:51:48 GMT 2024","passed","Wed Dec 18 10:51:50 GMT 2024","","test_wallet_send_money","",""
"","1335","test_create_invalid_password[a1234567-7654321a-Passwords dismatches]","tests.wallet_tests","Wed Dec 18 10:50:24 GMT 2024","passed","Wed Dec 18 10:50:25 GMT 2024","","test_wallet_password_verification","",""
"","4781","test_create_invalid_password[a1234567--None]","tests.wallet_tests","Wed Dec 18 10:50:32 GMT 2024","passed","Wed Dec 18 10:50:37 GMT 2024","","test_wallet_password_verification","",""
"","4808","test_create_invalid_password[-a1234567-None]","tests.wallet_tests","Wed Dec 18 10:50:26 GMT 2024","passed","Wed Dec 18 10:50:31 GMT 2024","","test_wallet_password_verification","",""
