"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2524","test_invalid_sendmoney[-tbel1q0v7cjajnlkll0ppjsmdduwh2gfjml3nhmuks24-Minimum amount is 0.00001 BEL]","tests.wallet_tests","Mon Dec 23 07:05:03 GMT 2024","passed","Mon Dec 23 07:05:06 GMT 2024","","test_wallet_send_money","",""
"","1358","test_valid_create_mnemonic","tests.wallet_tests","Mon Dec 23 07:04:05 GMT 2024","passed","Mon Dec 23 07:04:06 GMT 2024","","test_wallet_recovery_by_new_mnemonic","",""
"","3518","test_invalid_restore_by_mnemonic[data1-Please insert all the words]","tests.wallet_tests","Mon Dec 23 07:04:15 GMT 2024","passed","Mon Dec 23 07:04:18 GMT 2024","","test_wallet_recovery_by_old_mnemonic","",""
"","4812","test_create_invalid_password[-a1234567-None]","tests.wallet_tests","Mon Dec 23 07:03:48 GMT 2024","passed","Mon Dec 23 07:03:53 GMT 2024","","test_wallet_password_verification","",""
"","1673","test_restore_by_invalid_private_key[--Invalid private key]","tests.wallet_tests","Mon Dec 23 07:04:26 GMT 2024","passed","Mon Dec 23 07:04:28 GMT 2024","","test_wallet_recovery_by_private_key","",""
"","5160","test_invalid_sending_transfers","tests.wallet_tests","Mon Dec 23 07:05:30 GMT 2024","passed","Mon Dec 23 07:05:35 GMT 2024","","test_wallet_send_transfer","",""
"","6009","test_mint_transfer_zero_wallet","tests.wallet_tests","Mon Dec 23 07:03:38 GMT 2024","passed","Mon Dec 23 07:03:44 GMT 2024","","test_wallet_mint_transfer","",""
"","5023","test_valid_sending_transfers_zero_wallet","tests.wallet_tests","Mon Dec 23 07:05:36 GMT 2024","passed","Mon Dec 23 07:05:41 GMT 2024","","test_wallet_send_transfer","",""
"","2208","test_changing_password[)TFh1=!u5cBX9Q=E)WFO5*f7mJO7N&87D9vneR8bO69<(CfSf0Pp8s^lZX@p%3M9_smcB-)TFh1=!u5cBX9Q=E)WFO5*f7mJO7N&87D9vneR8bO69<(CfSf0Pp8s^lZX@p%3M9_smcB-success]","tests.wallet_tests","Mon Dec 23 07:03:20 GMT 2024","passed","Mon Dec 23 07:03:23 GMT 2024","","test_wallet_change_password","",""
"","4813","test_create_invalid_password[a1234567--None]","tests.wallet_tests","Mon Dec 23 07:03:54 GMT 2024","passed","Mon Dec 23 07:03:58 GMT 2024","","test_wallet_password_verification","",""
"","1559","test_invalid_restore_by_mnemonic[-Please insert all the words]","tests.wallet_tests","Mon Dec 23 07:04:13 GMT 2024","passed","Mon Dec 23 07:04:14 GMT 2024","","test_wallet_recovery_by_old_mnemonic","",""
"","2249","test_wallet_address_verification","tests.wallet_tests","Mon Dec 23 07:03:08 GMT 2024","passed","Mon Dec 23 07:03:10 GMT 2024","","test_wallet_address_verification","",""
"","3048","test_invalid_sendmoney[0.00001-tbel1q0v7cjajnlkll0ppjsmdduwh2gfjml3nhmuks24-Fee exceeds amount1]","tests.wallet_tests","Mon Dec 23 07:05:19 GMT 2024","passed","Mon Dec 23 07:05:22 GMT 2024","","test_wallet_send_money","",""
"","7855","test_valid_minting_transfers","tests.wallet_tests","Mon Dec 23 07:03:29 GMT 2024","passed","Mon Dec 23 07:03:37 GMT 2024","","test_wallet_mint_transfer","",""
"","2285","test_invalid_sendmoney[--Invalid receiver's address]","tests.wallet_tests","Mon Dec 23 07:05:09 GMT 2024","passed","Mon Dec 23 07:05:12 GMT 2024","","test_wallet_send_money","",""
"","4801","test_create_invalid_password[--None]","tests.wallet_tests","Mon Dec 23 07:03:59 GMT 2024","passed","Mon Dec 23 07:04:04 GMT 2024","","test_wallet_password_verification","",""
"","2359","test_invalid_sendmoney[0.1--Invalid receiver's address]","tests.wallet_tests","Mon Dec 23 07:05:06 GMT 2024","passed","Mon Dec 23 07:05:09 GMT 2024","","test_wallet_send_money","",""
"","3029","test_invalid_sendmoney[555555555-tbel1q0v7cjajnlkll0ppjsmdduwh2gfjml3nhmuks24-There's not enough money in your account]","tests.wallet_tests","Mon Dec 23 07:04:59 GMT 2024","passed","Mon Dec 23 07:05:02 GMT 2024","","test_wallet_send_money","",""
"","2192","test_changing_password[?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-?#cyk!KTQd11ez!P7_O#!C+IK%(yv4DJvzpa1PS^!WQnOgp#EkA?HUpdLkBB3WOxbgWl+Ea-error]","tests.wallet_tests","Mon Dec 23 07:03:26 GMT 2024","passed","Mon Dec 23 07:03:28 GMT 2024","","test_wallet_change_password","",""
"","3456","test_restore_by_mnemonic","tests.wallet_tests","Mon Dec 23 07:04:08 GMT 2024","passed","Mon Dec 23 07:04:12 GMT 2024","","test_wallet_recovery_by_old_mnemonic","",""
"","2221","test_changing_password[)TFh1=!u5cBX9Q=E)WFO5*f7mJO7N&87D9vneR8bO69<(CfSf0Pp8s^lZX@p%3M9_smcB-1nvalid-error]","tests.wallet_tests","Mon Dec 23 07:03:17 GMT 2024","passed","Mon Dec 23 07:03:20 GMT 2024","","test_wallet_change_password","",""
"","6786","test_valid_sending_transfers","tests.wallet_tests","Mon Dec 23 07:05:23 GMT 2024","passed","Mon Dec 23 07:05:29 GMT 2024","","test_wallet_send_transfer","",""
"","6606","test_valid_sendmoney[0.777-tbel1q0v7cjajnlkll0ppjsmdduwh2gfjml3nhmuks24]","tests.wallet_tests","Mon Dec 23 07:04:45 GMT 2024","passed","Mon Dec 23 07:04:51 GMT 2024","","test_wallet_send_money","",""
"","4086","test_valid_sending_inscriptions_zero_wallet","tests.wallet_tests","Mon Dec 23 07:04:40 GMT 2024","passed","Mon Dec 23 07:04:44 GMT 2024","","test_wallet_send_inscription","",""
"","2256","test_changing_password[--error]","tests.wallet_tests","Mon Dec 23 07:03:14 GMT 2024","passed","Mon Dec 23 07:03:17 GMT 2024","","test_wallet_change_password","",""
"","1687","test_restore_by_invalid_private_key[PihWthEm68TGZ2iWoDRWYJLmXPr5itHvKnhmYBz6vseVV6dN1rd-Invalid private key]","tests.wallet_tests","Mon Dec 23 07:04:24 GMT 2024","passed","Mon Dec 23 07:04:25 GMT 2024","","test_wallet_recovery_by_private_key","",""
