"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Verification of sending an transfers with an incorrectly specified address","0","0","","0"
"1","","0","Verification of transfer mint from a wallet without balance","0","0","","0"
"5","","0","Test Design: Changing the password in the wallet","0","0","","0"
"6","","0","Sending money with an invalid balance","0","0","","0"
"1","","0","Valid sending transfers from the wallet","0","0","","0"
"2","","0","Restore wallet by idvalid mnemonic","0","0","","0"
"1","","0","Valid sending inscriptions from the wallet","0","0","","0"
"3","","0","Testing changing user name","0","0","","0"
"1","","0","Valid Create wallet with new Mnemonic","0","0","","0"
"1","","0","Send money and verify balance","0","0","","0"
"1","","0","Valid minting transfers from the wallet","0","0","","0"
"1","","0","Testing the purchase inscriptions if there are insufficient funds on the balance","0","0","","0"
"4","","0","Create invalid wallet password","0","0","","0"
"3","","0","Restore wallet by invalid private key","0","0","","0"
"1","","0","Valid: Changing the password in the wallet","0","0","","0"
"1","","0","Verification of sending inscription from a wallet without a balance","0","0","","0"
"1","","0","Verification of sending an inscription with an incorrectly specified address","0","0","","0"
"1","","0","Restore wallet by valid mnemonic","0","0","","0"
"3","","0","Testing invalid inscription listing","0","0","","0"
"1","","0","Сheck of transfer sending from a wallet without balance","0","0","","0"
"1","","0","","0","1","","0"
"1","","0","Testing valid inscription listing","0","0","","0"
"1","","0","Testing invalid change user profile image","0","0","","0"
"1","","0","Restore wallet by private key","0","0","","0"
"1","","0","Invalid Create wallet with new Mnemonic","0","0","","0"
"1","","0","Create valid wallet password","0","0","","0"
"1","","0","wallet_tests address verification","0","0","","0"
"1","","0","Testing valid change user profile image","0","0","","0"
"1","","0","Testing valid purchase inscription","0","0","","0"
"1","","0","Test valid inscription unlisting","0","0","","0"
